"scenario","region","subRegion","param","classLabel1","class1","classLabel2","class2","xLabel","x","vintage","units","value"
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",-16.6391133333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",-17.12711
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",-18.25802
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",-19.4570566666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",-20.5628133333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",-21.32966
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-21.66582
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-21.76867
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-21.5842366666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-21.4100333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-21.24309
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-20.9219633333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-20.0803533333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-19.5092333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-19.00789
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-18.3489533333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-17.5633333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-16.81262
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-13.4913166666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-34.7797642023333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-56.4841979313333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-136.828698908
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-304.570978317467
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-481.441211606164
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-391.031522777798
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-156.460830477068
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-176.975875711066
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-207.93976634801
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-240.620172742049
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-274.699116727763
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-9.33093564333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-23.8538621236667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-44.8473873122
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-94.7304466262
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-163.41437656995
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-239.474518629655
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-284.515663499302
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-217.618230269214
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-252.363516157746
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-287.989811800393
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-320.208146021384
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-351.98573066807
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-5.12585718333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-10.4632810076667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-11.1351367468
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-14.3862577326967
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-9.73823886003833
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-5.64765081161233
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-6.03005122988767
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-4.31647483013157
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-3.27086268138813
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-3.16303042838053
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-2.81731655912997
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-3.1701774815051
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-123.180906786667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-242.866927343333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-346.194656243333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-364.500480992633
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-221.460721635267
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-84.3536723867567
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-62.2902745015833
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-35.823447755073
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-32.9663634031967
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-34.1576670611
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-31.3798381561903
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-32.9289023459477
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-28.9277486666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-54.0075070333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-80.6386782666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-92.7761945
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-85.1593264866667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-64.81267067
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-61.7563491966667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-43.9046069843333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-48.2257918633333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-47.733307171
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-43.653210524
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-43.9581210493333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-8.66093983333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-7.32600538083333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-6.79633061066667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-5.52173840119
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-4.57950355371667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-4.58958662697333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-4.671810230758
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-3.732817751179
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-1.740238321184
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-1.0601572348125
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-0.562723666660467
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-0.3469422049181
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-16.7713993333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-25.504776
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-42.7855266666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-88.4605516666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-226.029851666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-331.239322333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-166.437626666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-149.890887666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-120.0997446
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-114.422044
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-121.318736
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-128.9484394
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-235.5001
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-403.468266666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-438.55834
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-410.229416666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-375.931339666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-367.901457
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-351.702120366667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-324.5825836
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-297.18767507
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-272.759239573333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-250.25685322
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-228.471513966667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-2.395492
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-4.93081966666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-7.50930033333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-11.0960226666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2065,"Vint_2065","CO2 emissions - (MTCO2)",-14.146737
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2070,"Vint_2070","CO2 emissions - (MTCO2)",-16.0342416666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2075,"Vint_2075","CO2 emissions - (MTCO2)",-17.7889840333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2080,"Vint_2080","CO2 emissions - (MTCO2)",-18.92644226
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2085,"Vint_2085","CO2 emissions - (MTCO2)",-19.6531711933333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2090,"Vint_2090","CO2 emissions - (MTCO2)",-19.83935668
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2095,"Vint_2095","CO2 emissions - (MTCO2)",-19.4826456
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2100,"Vint_2100","CO2 emissions - (MTCO2)",-18.7760030333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1975,"Vint_1975","CO2 emissions - (MTCO2)",-2.25926433333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",1990,"Vint_1990","CO2 emissions - (MTCO2)",-4.75618
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2005,"Vint_2005","CO2 emissions - (MTCO2)",-14.83713
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2010,"Vint_2010","CO2 emissions - (MTCO2)",-16.33225
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2015,"Vint_2015","CO2 emissions - (MTCO2)",-23.1100466666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2020,"Vint_2020","CO2 emissions - (MTCO2)",-27.5184433333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2025,"Vint_2025","CO2 emissions - (MTCO2)",-37.7171666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2030,"Vint_2030","CO2 emissions - (MTCO2)",-50.8174333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2035,"Vint_2035","CO2 emissions - (MTCO2)",-66.2236666666667
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2040,"Vint_2040","CO2 emissions - (MTCO2)",-83.5846
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2045,"Vint_2045","CO2 emissions - (MTCO2)",-97.4200333333333
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2050,"Vint_2050","CO2 emissions - (MTCO2)",-112.9535
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2055,"Vint_2055","CO2 emissions - (MTCO2)",-126.6738
"Policycosts_1","India","India",NA,NA,NA,NA,NA,"Year",2060,"Vint_2060","CO2 emissions - (MTCO2)",-137.110966666667
